WKT,fid,gid,streetname,note
"LINESTRING (652417.452267532 6862993.27136718,652423.56940322 6863007.21981693)","6076","6077",R DE PALESTRO,
"LINESTRING (652423.56940322 6863007.21981693,652439.954588228 6863053.0816538)","6077","6078",R DE PALESTRO,
"LINESTRING (652384.681342403 6863377.54314546,652440.878603967 6863401.07077573)","6078","6079",R SAINTE-FOY,
"LINESTRING (652346.54989923 6863361.86364748,652384.681342403 6863377.54314546)","6084","6085",R SAINTE-FOY,
"LINESTRING (652350.718160732 6863024.83174052,652357.902418799 6863046.77114746)","6085","6086",R SAINT-DENIS,
"LINESTRING (652369.12836258 6863073.67654868,652386.446243719 6863111.53066038)","6087","6088",R SAINT-DENIS,
"LINESTRING (652357.902418799 6863046.77114746,652369.12836258 6863073.67654868)","6088","6089",R SAINT-DENIS,
"LINESTRING (652397.697404378 6863141.43583267,652399.747653209 6863147.41854821)","6089","6090",R SAINT-DENIS,
"LINESTRING (652386.446243719 6863111.53066038,652397.697404378 6863141.43583267)","6090","6091",R SAINT-DENIS,
"LINESTRING (652884.145924371 6863195.34706697,652922.042021849 6863183.02860802)","6092","6093",R DU VERTBOIS,
"LINESTRING (652683.951927091 6863291.02895335,652777.784812174 6863271.24045279)","6093","6094",R NOTRE DAME DE NAZARETH,
"LINESTRING (652824.697040869 6863260.84621592,652941.477617644 6863234.86475069)","6095","6096",R NOTRE DAME DE NAZARETH,
"LINESTRING (652863.920252229 6863049.5185112,652904.026286749 6863062.18123631)","6096","6097",R DE TURBIGO,
"LINESTRING (652919.167595395 6862960.05503974,652890.598302106 6862892.29597874)","6097","6098",R DES VERTUS,
"LINESTRING (652863.769277432 6863150.51877623,652839.334131305 6863098.72468369)","6098","6099",R MONTGOLFIER,
"LINESTRING (652839.334131305 6863098.72468369,652815.924139957 6863049.92196053)","6099","6100",R MONTGOLFIER,
"LINESTRING (652671.07848048 6862830.14189393,652755.735261271 6862789.43086145,652803.554767271 6862768.02918448)","6100","6101",R CHAPON,
"LINESTRING (652711.033320802 6862943.80475024,652797.841291131 6862921.07536357)","6101","6102",R AU MAIRE,
"LINESTRING (652797.841291131 6862921.07536357,652811.823332372 6862918.95785909)","6102","6103",R AU MAIRE,
"LINESTRING (652691.539042237 6862884.96927305,652778.229308172 6862848.24106787)","6103","6104",R DES GRAVILLIERS,
"LINESTRING (652648.576085597 6862770.33176015,652857.776892488 6862675.57460605)","6105","6106",R DE MONTMORENCY,
"LINESTRING (652684.573234374 6862889.02777116,652691.539042237 6862884.96927305)","6106","6107",R DES GRAVILLIERS,
"LINESTRING (652811.823332372 6862918.95785909,652837.434857914 6862991.74176134)","6108","6109",R VOLTA,
"LINESTRING (652712.647258608 6863373.78711081,652953.023141914 6863299.76713494)","6109","6110",R DE MESLAY,
"LINESTRING (652665.10418859 6862833.1920681,652671.07848048 6862830.14189393)","6114","6115",R CHAPON,
